id,code,name,user_type_id/id,chart_template_id/id,reconcile,tag_ids/id
lb_coa_101000,101000,Capital,account.data_account_type_equity,l10n_lb.l10n_lb_chart_template,No,
lb_coa_102000,102000,Issuance Premiums,account.data_account_type_equity,l10n_lb.l10n_lb_chart_template,No,
lb_coa_111000,111000,Legal Reserve,account.data_account_type_equity,l10n_lb.l10n_lb_chart_template,No,
lb_coa_112000,112000,Statutory And Contractual Reserves,account.data_account_type_equity,l10n_lb.l10n_lb_chart_template,No,
lb_coa_119000,119000,Other Reserves,account.data_account_type_equity,l10n_lb.l10n_lb_chart_template,No,
lb_coa_121000,121000,Brought Forward Results - Profits,account.data_account_type_equity,l10n_lb.l10n_lb_chart_template,No,
lb_coa_125000,125000,Brought Forward Results - Losses,account.data_account_type_equity,l10n_lb.l10n_lb_chart_template,No,
lb_coa_138000,138000,Current Year Results - Profits,account.data_unaffected_earnings,l10n_lb.l10n_lb_chart_template,No,
lb_coa_139000,139000,Current Year Results - Losses,account.data_account_type_equity,l10n_lb.l10n_lb_chart_template,No,
lb_coa_151100,151100,Provisions For Litigations and Alike,account.data_account_type_non_current_liabilities,l10n_lb.l10n_lb_chart_template,No,
lb_coa_155100,155100,Provisions for Deferred Charges,account.data_account_type_non_current_liabilities,l10n_lb.l10n_lb_chart_template,No,
lb_coa_155200,155200,Provisions for Personnel End of Service Indemnity,account.data_account_type_non_current_liabilities,l10n_lb.l10n_lb_chart_template,No,
lb_coa_161000,161000,Long Term Loans Against Bonds,account.data_account_type_non_current_liabilities,l10n_lb.l10n_lb_chart_template,No,
lb_coa_162000,162000,Long Term Loans from Banks,account.data_account_type_non_current_liabilities,l10n_lb.l10n_lb_chart_template,No,
lb_coa_168000,168000,Shareholder Loan,account.data_account_type_non_current_liabilities,l10n_lb.l10n_lb_chart_template,No,
lb_coa_212000,212000,Formation Expenses,account.data_account_type_fixed_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_214000,214000,"Assets - Patents, Licenses, Trade Marks & Alike",account.data_account_type_fixed_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_219100,219100,Assets - Softwares,account.data_account_type_fixed_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_221000,221000,Assets - Lands,account.data_account_type_fixed_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_223000,223000,Assets - Buildings & Contructions,account.data_account_type_fixed_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_224000,224000,Assets - Machinery and Equipment,account.data_account_type_fixed_assets,l10n_lb.l10n_lb_chart_template,No,
